B00803,KAM KWONG CO
B00804,CHEONG LEE SECURITIES CO
B00807,WING CHEUNG HING INVESTMENT CO
B00813,VICTORY ENTERPRISES CO
B00816,JOLLY STOCK INVESTMENT CO
B00833,RESIDENTS SECURITIES CO
B00835,CHI HING CO
B00846,KEE CHEONG SECURITIES CO
B00850,MELBOURNE INVESTMENT CO
B00862,HUNG'S CO
B00866,SALISBURY SECURITIES
B00880,PING ON & CO
B00890,TAI FUNG HONG
B00902,MAN SHING CO
B00904,TAI HANG INVESTMENT CO
B00911,KILMOREY SECURITIES CO
B00932,JAMES CO
B00937,LUEN ON SECURITIES CO
B00947,GENTLE SECURITIES CO
B00951,NG WA YEE & CO
B00957,KOH'S INVESTMENT CO
B00965,HANTEC SECURITIES CO
B00976,STEPHIL SECURITIES CO
B00987,SABAH SECURITIES & INVESTMENT CO
B00988,LAWSONS SECURITIES CO
B01000,GOLDEN DRAGON SECURITIES CO
B01004,DASWANI TEK
B01007,BULLISH SECURITIES
B01011,TRADEMORE SECURITIES & INVESTMENT CO
B01015,KAM BO SECURITIES CO
B01024,HAMBURG SECURITIES CO
B01031,KELLY & CO
B01033,TOWN HANG SECURITIES CO
B01034,WING YIP CO
B01039,KWOK HING SECURITIES CO
B01040,GREAT HONOUR SECURITIES CO
B01045,SAI SHING SECURITIES CO
B01055,LO KIN FAI SECURITIES CO
B01068,新大利證券投資公司
B01069,KAN FUNG SECURITIES CO
B01076,BARCLAYS CAPITAL SECURITIES ASIA LTD
B01077,MACQUARIE CAPITAL SECURITIES LTD
B01078,STANDARD CHARTERED SECURITIES
B01080,鼎珮證券有限公司
B01081,TAI WAH & CO
B01084,S.G. WARBURG SECURITIES ASIA LTD
B01085,SALOMON SMITH BARNEY SECURITIES ASIA LTD
B01086,新鴻基投資服務有限公司
B01087,TAI PO SECURITIES CO
B01088,CREDIT AGRICOLE INDOSUEZ CHEUVREUX
B01089,匯豐金融證券(香港)有限公司
B01092,STAR SECURITIES CO
B01096,WARDLEY BROKERS LTD
B01099,KGI SEAPOWER SECURITIES LTD
B01100,VICKERS BALLAS HONG KONG SECURITIES LTD
B01103,SASSOON SECURITIES LTD
